Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	21	4	0.84	0.08641975308641975	0.01646090534979424	0.102880658436214
2004	17	0	1.0	0.06938775510204082	0.0	0.06938775510204082
2005	17	1	0.9444444444444444	0.07112970711297072	0.0041841004184100415	0.07531380753138076
2006	19	0	1.0	0.07569721115537849	0.0	0.07569721115537849
2007	6	0	1.0	0.023622047244094488	0.0	0.023622047244094488
2008	1	0	1.0	0.0037174721189591076	0.0	0.0037174721189591076
2009	0	0	0.5	0.0	0.0	0.0
2010	0	0	0.5	0.0	0.0	0.0
2011	0	0	0.5	0.0	0.0	0.0
2012	0	0	0.5	0.0	0.0	0.0
