Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	5	1	0.8333333333333334	0.0205761316872428	0.00411522633744856	0.024691358024691357
2004	0	0	0.5	0.0	0.0	0.0
2005	3	0	1.0	0.012552301255230125	0.0	0.012552301255230125
2006	6	0	1.0	0.02390438247011952	0.0	0.02390438247011952
2007	2	0	1.0	0.007874015748031496	0.0	0.007874015748031496
2008	0	0	0.5	0.0	0.0	0.0
2009	2	0	1.0	0.006349206349206349	0.0	0.006349206349206349
2010	1	0	1.0	0.003257328990228013	0.0	0.003257328990228013
2011	2	0	1.0	0.005917159763313609	0.0	0.005917159763313609
2012	0	0	0.5	0.0	0.0	0.0
