Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	1	0	1.0	0.00398406374501992	0.0	0.00398406374501992
2007	1	0	1.0	0.003937007874015748	0.0	0.003937007874015748
2008	1	0	1.0	0.0037174721189591076	0.0	0.0037174721189591076
2009	5	0	1.0	0.015873015873015872	0.0	0.015873015873015872
2010	1	0	1.0	0.003257328990228013	0.0	0.003257328990228013
2011	1	0	1.0	0.0029585798816568047	0.0	0.0029585798816568047
2012	3	1	0.75	0.008021390374331552	0.00267379679144385	0.0106951871657754
