Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	9	0	1.0	0.037037037037037035	0.0	0.037037037037037035
2004	9	0	1.0	0.036734693877551024	0.0	0.036734693877551024
2005	8	0	1.0	0.03347280334728033	0.0	0.03347280334728033
2006	4	0	1.0	0.01593625498007968	0.0	0.01593625498007968
2007	3	0	1.0	0.011811023622047244	0.0	0.011811023622047244
2008	5	0	1.0	0.01858736059479554	0.0	0.01858736059479554
2009	5	0	1.0	0.015873015873015872	0.0	0.015873015873015872
2010	7	0	1.0	0.02280130293159609	0.0	0.02280130293159609
2011	5	0	1.0	0.014792899408284023	0.0	0.014792899408284023
2012	14	0	1.0	0.0374331550802139	0.0	0.0374331550802139
