Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	2	0	1.0	0.00823045267489712	0.0	0.00823045267489712
2004	2	0	1.0	0.00816326530612245	0.0	0.00816326530612245
2005	2	0	1.0	0.008368200836820083	0.0	0.008368200836820083
2006	2	0	1.0	0.00796812749003984	0.0	0.00796812749003984
2007	4	0	1.0	0.015748031496062992	0.0	0.015748031496062992
2008	1	0	1.0	0.0037174721189591076	0.0	0.0037174721189591076
2009	1	0	1.0	0.0031746031746031746	0.0	0.0031746031746031746
2010	2	0	1.0	0.006514657980456026	0.0	0.006514657980456026
2011	3	0	1.0	0.008875739644970414	0.0	0.008875739644970414
2012	1	0	1.0	0.00267379679144385	0.0	0.00267379679144385
