Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	0	0	0.5	0.0	0.0	0.0
2008	1	0	1.0	0.0037174721189591076	0.0	0.0037174721189591076
2009	2	0	1.0	0.006349206349206349	0.0	0.006349206349206349
2010	2	0	1.0	0.006514657980456026	0.0	0.006514657980456026
2011	1	0	1.0	0.0029585798816568047	0.0	0.0029585798816568047
2012	1	1	0.5	0.00267379679144385	0.00267379679144385	0.0053475935828877
