Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	249	15	0.9431818181818182	1.0246913580246915	0.06172839506172839	1.0864197530864197
2004	254	14	0.9477611940298507	1.036734693877551	0.05714285714285714	1.0938775510204082
2005	244	15	0.9420849420849421	1.0209205020920502	0.06276150627615062	1.0836820083682008
2006	263	17	0.9392857142857143	1.047808764940239	0.06772908366533864	1.1155378486055776
2007	261	17	0.9388489208633094	1.0275590551181102	0.06692913385826772	1.094488188976378
2008	280	17	0.9427609427609428	1.0408921933085502	0.06319702602230483	1.104089219330855
2009	331	29	0.9194444444444444	1.0507936507936508	0.09206349206349207	1.1428571428571428
2010	313	14	0.9571865443425076	1.019543973941368	0.04560260586319218	1.0651465798045603
2011	356	28	0.9270833333333334	1.0532544378698225	0.08284023668639054	1.136094674556213
2012	395	29	0.9316037735849056	1.0561497326203209	0.07754010695187166	1.1336898395721926
