Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	3	0	1.0	0.012244897959183673	0.0	0.012244897959183673
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	2	0	1.0	0.00796812749003984	0.0	0.00796812749003984
2007	0	0	0.5	0.0	0.0	0.0
2008	3	0	1.0	0.011152416356877323	0.0	0.011152416356877323
2009	3	2	0.6	0.009523809523809525	0.006349206349206349	0.015873015873015872
2010	2	1	0.6666666666666666	0.006514657980456026	0.003257328990228013	0.009771986970684038
2011	1	1	0.5	0.0029585798816568047	0.0029585798816568047	0.005917159763313609
2012	3	0	1.0	0.008021390374331552	0.0	0.008021390374331552
