Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	20	0	1.0	0.0823045267489712	0.0	0.0823045267489712
2004	32	0	1.0	0.1306122448979592	0.0	0.1306122448979592
2005	32	2	0.9411764705882353	0.13389121338912133	0.008368200836820083	0.14225941422594143
2006	21	0	1.0	0.08366533864541832	0.0	0.08366533864541832
2007	27	2	0.9310344827586207	0.1062992125984252	0.007874015748031496	0.1141732283464567
2008	24	1	0.96	0.08921933085501858	0.0037174721189591076	0.09293680297397769
2009	30	4	0.8823529411764706	0.09523809523809523	0.012698412698412698	0.10793650793650794
2010	27	1	0.9642857142857143	0.08794788273615635	0.003257328990228013	0.09120521172638436
2011	24	1	0.96	0.07100591715976332	0.0029585798816568047	0.07396449704142012
2012	18	2	0.9	0.0481283422459893	0.0053475935828877	0.053475935828877004
