Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	1	0	1.0	0.004081632653061225	0.0	0.004081632653061225
2005	0	0	0.5	0.0	0.0	0.0
2006	0	1	0.0	0.0	0.00398406374501992	0.00398406374501992
2007	1	0	1.0	0.003937007874015748	0.0	0.003937007874015748
2008	1	0	1.0	0.0037174721189591076	0.0	0.0037174721189591076
2009	0	0	0.5	0.0	0.0	0.0
2010	0	0	0.5	0.0	0.0	0.0
2011	0	0	0.5	0.0	0.0	0.0
2012	0	0	0.5	0.0	0.0	0.0
