Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	0	1	0.0	0.0	0.003937007874015748	0.003937007874015748
2008	0	0	0.5	0.0	0.0	0.0
2009	0	1	0.0	0.0	0.0031746031746031746	0.0031746031746031746
2010	0	1	0.0	0.0	0.003257328990228013	0.003257328990228013
2011	0	1	0.0	0.0	0.0029585798816568047	0.0029585798816568047
2012	0	1	0.0	0.0	0.00267379679144385	0.00267379679144385
