Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	24	0	1.0	0.09876543209876543	0.0	0.09876543209876543
2004	18	0	1.0	0.07346938775510205	0.0	0.07346938775510205
2005	18	0	1.0	0.07531380753138076	0.0	0.07531380753138076
2006	17	0	1.0	0.06772908366533864	0.0	0.06772908366533864
2007	12	0	1.0	0.047244094488188976	0.0	0.047244094488188976
2008	5	0	1.0	0.01858736059479554	0.0	0.01858736059479554
2009	1	0	1.0	0.0031746031746031746	0.0	0.0031746031746031746
2010	0	0	0.5	0.0	0.0	0.0
2011	0	0	0.5	0.0	0.0	0.0
2012	0	0	0.5	0.0	0.0	0.0
