Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	4	1	0.8	0.01646090534979424	0.00411522633744856	0.0205761316872428
2004	4	1	0.8	0.0163265306122449	0.004081632653061225	0.02040816326530612
2005	2	1	0.6666666666666666	0.008368200836820083	0.0041841004184100415	0.012552301255230125
2006	4	1	0.8	0.01593625498007968	0.00398406374501992	0.0199203187250996
2007	6	0	1.0	0.023622047244094488	0.0	0.023622047244094488
2008	3	1	0.75	0.011152416356877323	0.0037174721189591076	0.01486988847583643
2009	7	3	0.7	0.022222222222222223	0.009523809523809525	0.031746031746031744
2010	4	0	1.0	0.013029315960912053	0.0	0.013029315960912053
2011	6	2	0.75	0.01775147928994083	0.005917159763313609	0.023668639053254437
2012	4	0	1.0	0.0106951871657754	0.0	0.0106951871657754
