Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.00411522633744856	0.0	0.00411522633744856
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	1	0	1.0	0.003937007874015748	0.0	0.003937007874015748
2008	0	0	0.5	0.0	0.0	0.0
2009	3	0	1.0	0.009523809523809525	0.0	0.009523809523809525
2010	2	0	1.0	0.006514657980456026	0.0	0.006514657980456026
2011	1	0	1.0	0.0029585798816568047	0.0	0.0029585798816568047
2012	4	0	1.0	0.0106951871657754	0.0	0.0106951871657754
