Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	2	0	1.0	0.00823045267489712	0.0	0.00823045267489712
2004	0	0	0.5	0.0	0.0	0.0
2005	6	0	1.0	0.02510460251046025	0.0	0.02510460251046025
2006	4	0	1.0	0.01593625498007968	0.0	0.01593625498007968
2007	2	0	1.0	0.007874015748031496	0.0	0.007874015748031496
2008	3	1	0.75	0.011152416356877323	0.0037174721189591076	0.01486988847583643
2009	7	0	1.0	0.022222222222222223	0.0	0.022222222222222223
2010	8	0	1.0	0.026058631921824105	0.0	0.026058631921824105
2011	6	1	0.8571428571428571	0.01775147928994083	0.0029585798816568047	0.020710059171597635
2012	7	2	0.7777777777777778	0.01871657754010695	0.0053475935828877	0.02406417112299465
