Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	2	0	1.0	0.00823045267489712	0.0	0.00823045267489712
2004	3	0	1.0	0.012244897959183673	0.0	0.012244897959183673
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	1	0	1.0	0.00398406374501992	0.0	0.00398406374501992
2007	2	0	1.0	0.007874015748031496	0.0	0.007874015748031496
2008	4	0	1.0	0.01486988847583643	0.0	0.01486988847583643
2009	2	0	1.0	0.006349206349206349	0.0	0.006349206349206349
2010	1	0	1.0	0.003257328990228013	0.0	0.003257328990228013
2011	2	0	1.0	0.005917159763313609	0.0	0.005917159763313609
2012	2	0	1.0	0.0053475935828877	0.0	0.0053475935828877
