Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	5	0	1.0	0.0205761316872428	0.0	0.0205761316872428
2004	3	0	1.0	0.012244897959183673	0.0	0.012244897959183673
2005	3	0	1.0	0.012552301255230125	0.0	0.012552301255230125
2006	11	0	1.0	0.043824701195219126	0.0	0.043824701195219126
2007	11	0	1.0	0.04330708661417323	0.0	0.04330708661417323
2008	6	0	1.0	0.022304832713754646	0.0	0.022304832713754646
2009	8	0	1.0	0.025396825396825397	0.0	0.025396825396825397
2010	8	0	1.0	0.026058631921824105	0.0	0.026058631921824105
2011	8	0	1.0	0.023668639053254437	0.0	0.023668639053254437
2012	12	0	1.0	0.03208556149732621	0.0	0.03208556149732621
