Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	13	0	1.0	0.053497942386831275	0.0	0.053497942386831275
2004	11	0	1.0	0.044897959183673466	0.0	0.044897959183673466
2005	8	0	1.0	0.03347280334728033	0.0	0.03347280334728033
2006	17	0	1.0	0.06772908366533864	0.0	0.06772908366533864
2007	6	0	1.0	0.023622047244094488	0.0	0.023622047244094488
2008	7	0	1.0	0.026022304832713755	0.0	0.026022304832713755
2009	13	3	0.8125	0.04126984126984127	0.009523809523809525	0.050793650793650794
2010	14	0	1.0	0.04560260586319218	0.0	0.04560260586319218
2011	14	1	0.9333333333333333	0.04142011834319527	0.0029585798816568047	0.04437869822485207
2012	10	2	0.8333333333333334	0.026737967914438502	0.0053475935828877	0.03208556149732621
