Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	3	0	1.0	0.012345679012345678	0.0	0.012345679012345678
2004	1	0	1.0	0.004081632653061225	0.0	0.004081632653061225
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	1	0	1.0	0.00398406374501992	0.0	0.00398406374501992
2007	1	0	1.0	0.003937007874015748	0.0	0.003937007874015748
2008	2	0	1.0	0.007434944237918215	0.0	0.007434944237918215
2009	2	1	0.6666666666666666	0.006349206349206349	0.0031746031746031746	0.009523809523809525
2010	0	0	0.5	0.0	0.0	0.0
2011	0	1	0.0	0.0	0.0029585798816568047	0.0029585798816568047
2012	1	1	0.5	0.00267379679144385	0.00267379679144385	0.0053475935828877
