Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	26	1	0.9629629629629629	0.10699588477366255	0.00411522633744856	0.1111111111111111
2004	27	0	1.0	0.11020408163265306	0.0	0.11020408163265306
2005	38	1	0.9743589743589743	0.1589958158995816	0.0041841004184100415	0.16317991631799164
2006	23	2	0.92	0.09163346613545817	0.00796812749003984	0.099601593625498
2007	38	0	1.0	0.14960629921259844	0.0	0.14960629921259844
2008	42	0	1.0	0.15613382899628253	0.0	0.15613382899628253
2009	32	3	0.9142857142857143	0.10158730158730159	0.009523809523809525	0.1111111111111111
2010	50	0	1.0	0.16286644951140064	0.0	0.16286644951140064
2011	48	2	0.96	0.14201183431952663	0.005917159763313609	0.14792899408284024
2012	53	1	0.9814814814814815	0.14171122994652408	0.00267379679144385	0.1443850267379679
