Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	0	2	0.0	0.0	0.00796812749003984	0.00796812749003984
2007	0	2	0.0	0.0	0.007874015748031496	0.007874015748031496
2008	0	6	0.0	0.0	0.022304832713754646	0.022304832713754646
2009	0	1	0.0	0.0	0.0031746031746031746	0.0031746031746031746
2010	0	2	0.0	0.0	0.006514657980456026	0.006514657980456026
2011	0	2	0.0	0.0	0.005917159763313609	0.005917159763313609
2012	0	2	0.0	0.0	0.0053475935828877	0.0053475935828877
