Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	15	1	0.9375	0.06172839506172839	0.00411522633744856	0.06584362139917696
2004	11	1	0.9166666666666666	0.044897959183673466	0.004081632653061225	0.04897959183673469
2005	13	1	0.9285714285714286	0.05439330543933055	0.0041841004184100415	0.058577405857740586
2006	19	1	0.95	0.07569721115537849	0.00398406374501992	0.0796812749003984
2007	23	1	0.9583333333333334	0.09055118110236221	0.003937007874015748	0.09448818897637795
2008	26	1	0.9629629629629629	0.09665427509293681	0.0037174721189591076	0.10037174721189591
2009	22	4	0.8461538461538461	0.06984126984126984	0.012698412698412698	0.08253968253968254
2010	17	2	0.8947368421052632	0.05537459283387622	0.006514657980456026	0.06188925081433225
2011	36	3	0.9230769230769231	0.10650887573964497	0.008875739644970414	0.11538461538461539
2012	31	0	1.0	0.08288770053475936	0.0	0.08288770053475936
