Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	2	0	1.0	0.00823045267489712	0.0	0.00823045267489712
2004	6	0	1.0	0.024489795918367346	0.0	0.024489795918367346
2005	4	0	1.0	0.016736401673640166	0.0	0.016736401673640166
2006	8	0	1.0	0.03187250996015936	0.0	0.03187250996015936
2007	3	0	1.0	0.011811023622047244	0.0	0.011811023622047244
2008	2	0	1.0	0.007434944237918215	0.0	0.007434944237918215
2009	6	0	1.0	0.01904761904761905	0.0	0.01904761904761905
2010	4	0	1.0	0.013029315960912053	0.0	0.013029315960912053
2011	4	0	1.0	0.011834319526627219	0.0	0.011834319526627219
2012	8	0	1.0	0.0213903743315508	0.0	0.0213903743315508
