Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	6	0	1.0	0.024691358024691357	0.0	0.024691358024691357
2004	5	0	1.0	0.02040816326530612	0.0	0.02040816326530612
2005	9	0	1.0	0.03765690376569038	0.0	0.03765690376569038
2006	5	0	1.0	0.0199203187250996	0.0	0.0199203187250996
2007	10	1	0.9090909090909091	0.03937007874015748	0.003937007874015748	0.04330708661417323
2008	12	1	0.9230769230769231	0.04460966542750929	0.0037174721189591076	0.048327137546468404
2009	18	2	0.9	0.05714285714285714	0.006349206349206349	0.06349206349206349
2010	12	1	0.9230769230769231	0.03908794788273615	0.003257328990228013	0.04234527687296417
2011	10	0	1.0	0.029585798816568046	0.0	0.029585798816568046
2012	11	2	0.8461538461538461	0.029411764705882353	0.0053475935828877	0.034759358288770054
