Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.00411522633744856	0.0	0.00411522633744856
2004	0	0	0.5	0.0	0.0	0.0
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	2	0	1.0	0.00796812749003984	0.0	0.00796812749003984
2007	1	0	1.0	0.003937007874015748	0.0	0.003937007874015748
2008	0	0	0.5	0.0	0.0	0.0
2009	0	0	0.5	0.0	0.0	0.0
2010	0	0	0.5	0.0	0.0	0.0
2011	0	0	0.5	0.0	0.0	0.0
2012	0	0	0.5	0.0	0.0	0.0
