Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	2	0	1.0	0.008368200836820083	0.0	0.008368200836820083
2006	1	0	1.0	0.00398406374501992	0.0	0.00398406374501992
2007	1	0	1.0	0.003937007874015748	0.0	0.003937007874015748
2008	1	0	1.0	0.0037174721189591076	0.0	0.0037174721189591076
2009	1	0	1.0	0.0031746031746031746	0.0	0.0031746031746031746
2010	2	0	1.0	0.006514657980456026	0.0	0.006514657980456026
2011	1	0	1.0	0.0029585798816568047	0.0	0.0029585798816568047
2012	3	0	1.0	0.008021390374331552	0.0	0.008021390374331552
