Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	2	0	1.0	0.00823045267489712	0.0	0.00823045267489712
2004	1	0	1.0	0.004081632653061225	0.0	0.004081632653061225
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	4	0	1.0	0.01593625498007968	0.0	0.01593625498007968
2007	1	0	1.0	0.003937007874015748	0.0	0.003937007874015748
2008	1	0	1.0	0.0037174721189591076	0.0	0.0037174721189591076
2009	2	0	1.0	0.006349206349206349	0.0	0.006349206349206349
2010	5	0	1.0	0.016286644951140065	0.0	0.016286644951140065
2011	7	0	1.0	0.020710059171597635	0.0	0.020710059171597635
2012	7	0	1.0	0.01871657754010695	0.0	0.01871657754010695
