Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.00411522633744856	0.0	0.00411522633744856
2004	1	0	1.0	0.004081632653061225	0.0	0.004081632653061225
2005	2	1	0.6666666666666666	0.008368200836820083	0.0041841004184100415	0.012552301255230125
2006	3	0	1.0	0.01195219123505976	0.0	0.01195219123505976
2007	5	0	1.0	0.01968503937007874	0.0	0.01968503937007874
2008	2	1	0.6666666666666666	0.007434944237918215	0.0037174721189591076	0.011152416356877323
2009	4	0	1.0	0.012698412698412698	0.0	0.012698412698412698
2010	2	0	1.0	0.006514657980456026	0.0	0.006514657980456026
2011	3	2	0.6	0.008875739644970414	0.005917159763313609	0.014792899408284023
2012	8	0	1.0	0.0213903743315508	0.0	0.0213903743315508
