Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	4	0	1.0	0.01646090534979424	0.0	0.01646090534979424
2004	2	0	1.0	0.00816326530612245	0.0	0.00816326530612245
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	2	0	1.0	0.00796812749003984	0.0	0.00796812749003984
2007	0	0	0.5	0.0	0.0	0.0
2008	0	0	0.5	0.0	0.0	0.0
2009	2	0	1.0	0.006349206349206349	0.0	0.006349206349206349
2010	1	0	1.0	0.003257328990228013	0.0	0.003257328990228013
2011	1	0	1.0	0.0029585798816568047	0.0	0.0029585798816568047
2012	1	0	1.0	0.00267379679144385	0.0	0.00267379679144385
