Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	4	0.0	0.0	0.0163265306122449	0.0163265306122449
2005	0	4	0.0	0.0	0.016736401673640166	0.016736401673640166
2006	0	3	0.0	0.0	0.01195219123505976	0.01195219123505976
2007	0	3	0.0	0.0	0.011811023622047244	0.011811023622047244
2008	0	0	0.5	0.0	0.0	0.0
2009	0	0	0.5	0.0	0.0	0.0
2010	0	0	0.5	0.0	0.0	0.0
2011	0	0	0.5	0.0	0.0	0.0
2012	0	0	0.5	0.0	0.0	0.0
